SchemeCode,NAV,NAV_Date
103360,162.4473,2025-12-18
103361,45.0895,2025-12-18
103389,59.6,2025-12-18
103390,155.26,2025-12-18
103400,28.8721,2025-12-18
103401,28.8439,2025-12-18
103408,64.5676,2025-12-18
103409,36.5118,2025-12-18
103475,25.57,2025-12-18
103476,93.12,2025-12-18
103490,132.86,2025-12-18
103491,133.13,2025-12-18
103504,95.1239,2025-12-18
103616,54.1145,2025-12-18
103633,391.0281,2025-12-18
103634,100.1295,2025-12-18
103635,100.7436,2025-12-18
103636,100.6605,2022-09-16
103637,100.8819,2022-09-16
103678,138.1471,2025-12-18
103679,25.1223,2025-12-18
103734,36.1449,2025-12-18
103735,10.0477,2025-12-18
103736,10.0095,2025-12-18
103743,29.2744,2025-12-18
103780,33.4117,2025-12-18
103781,15.5076,2025-12-18
103819,633.374,2025-12-18
103820,40.262,2025-12-18
103883,90.4301,2025-12-18
103884,1265.5078,2025-12-18
103885,120.1755,2025-12-18
104074,20.326,2025-12-18
104075,35.9798,2025-12-18
104138,3494.9061,2025-12-18
104139,1005.0453,2025-12-18
104140,1005.4914,2025-12-18
104240,1013.9743,2020-11-03
104241,2368.5909,2020-11-03
104271,26.7195,2020-09-25
104272,10.2477,2020-09-25
104308,105.6475,2022-09-16
104457,34.7084,2025-12-18
104458,18.2528,2025-12-18
104481,147.513,2025-12-18
104482,30.561,2025-12-18
104484,1002.7594,2025-12-18
104485,1019.0711,2025-12-18
104486,3685.1002,2025-12-18
104488,3255.1647,2025-12-18
104489,1003.9985,2025-12-18
104492,1006.1061,2025-12-18
104513,113.7817,2025-12-18
104514,69.4521,2025-12-18
104515,114.0342,2025-12-18
104523,244.5994,2025-12-18
104559,10.2599,2025-12-18
104635,24.23,2025-12-18
104636,123.83,2025-12-18
104637,122.9086,2025-12-18
104638,35.4179,2025-12-18
104681,15.22,2025-12-18
104683,35.2066,2025-12-18
104684,26.3343,2020-04-24
104685,77.09,2025-12-18
104686,17.99,2025-12-18
104706,34.6564,2025-12-18
104707,94.7029,2025-12-18
104722,1444.7861,2025-12-18
104723,1392.8755,2025-12-18
104725,1301.2522,2025-12-18
104726,3892.5848,2025-12-18
104728,3455.8149,2025-12-18
104729,1418.6338,2025-12-18
104772,142.929,2025-12-18
104773,23.902,2025-12-18
104898,43.0129,2018-06-18
104907,73.729,2025-12-18
104908,134.242,2025-12-18
105000,29.2732,2025-12-18
105001,86.7364,2025-12-18
105024,1718.8202,2025-12-18
105025,1017.9524,2025-12-18
105067,188.8631,2025-12-18
105080,2314.3423,2025-12-18
105185,3659.9806,2025-12-18
105187,2383.6296,2025-12-18
105189,3638.9682,2025-12-18
105190,1017.4577,2025-12-18
105191,1047.4869,2025-12-18
105192,1013.9311,2025-12-18
105229,32.96,2025-04-22
105230,10.0112,2025-04-22
105232,10.0033,2019-09-17
105274,4228.9587,2025-12-18
105275,1358.6072,2025-12-18
105280,4189.3345,2025-12-18
105281,1140.7391,2025-12-18
105282,1379.8408,2025-12-18
105283,1374.8607,2025-12-18
105400,32.7484,2025-04-22
105401,10.0282,2025-04-22
105402,10.0291,2019-09-17
105417,65.95,2025-12-18
105418,61.95,2025-12-18
105433,33.5299,2025-04-22
105434,12.2544,2025-04-22
105436,12.2381,2025-04-22
105459,55.62,2025-12-18
105460,136.27,2025-12-18
105463,111.3055,2025-12-18
105503,182.47,2025-12-18
105504,62.55,2025-12-18
105543,10.164,2025-12-18
105544,41.8371,2019-05-10
105545,10.1734,2019-05-10
105546,10.1856,2019-05-10
105547,10.1574,2019-05-10
105548,10.1426,2025-12-18
105578,1066.6584,2025-12-18
105603,32.7585,2025-12-18
105604,17.4827,2025-12-18
105605,1408.9777,2025-12-18
105627,1412.5422,2025-12-18
105628,446.0398,2025-12-18
105637,10.5191,2025-12-18
105638,10.047,2020-05-06
105639,10.0191,2025-12-18
105650,10.0016,2017-08-29
105651,21.1844,2017-08-29
105658,1437.1866,2025-12-18
105659,1086.0273,2025-12-18
105660,13.0544,2025-12-18
105661,37.3168,2025-12-18
105662,12.9941,2025-12-18
105663,27.8005,2025-12-18
105667,1051.9852,2025-12-18
105668,1247.9874,2025-12-18
105669,3372.7267,2025-12-18
105670,1023.0102,2025-12-18
105689,36.9506,2025-12-18
105691,10.0304,2016-11-07
105692,12.9567,2025-12-18
105710,21.9999,2017-09-20
